stat;hard;koef_hard;line;public;prest;p2;p1_1;p1_2;punkt;fs1r64;fs1r64_05n;fs1r64_05x;fs1r64_06n;fs1r64_06x;fs1r64_09n;fs1r64_09x;fs1r64_12n;fs1r64_12x;fs1r64_11n;fs1r64_11x;fs1r64_01n;fs1r64_01x;fs1r65_o;fs1r65_n;fs1r65_02n;fs1r65_02x;d_izm;DATE_VERSION
ст.108 Ш8сключ5н0Щ;0;1960;1;1;2;1080001;"ШЂHЃ1ЂjЂkЃ>Ѓ7ЂeЂmЂ`Щ ЂSЂlЃ;Ѓ8ЂkЂeЂmЂmЂnЂe ЂoЃ0ЂhЃ7ЂhЂmЂe";ДенсаулыKKа KасаKана жеSл зиян келтру;;05,06,09,12;;200;;200;;180;;60;;;;;;;;;20-Jul-17;20-Jul-17
ст.108Э1 ч.1;0;1680;1;1;2;1080101;Умышленное причинение легкого вреда здоровью;ДенсаулыKKа KасаKана жеSл зиян келтру;;05,06,09,12;;200;;200;;200;;50;;;;;;;;;15-Jun-24;15-Jun-24
ст.108Э1 ч.2;1;2630;1;1;1;1080102;Умышленное причинение легкого вреда здоровью;ДенсаулыKKа KасаKана жеSл зиян келтру;01,02,03,04,05,06,07,08;05,06,09,01,11;;1000;;1000;;600;;;;2;;2;;;;;15-Jun-24;15-Jun-24
ст.109 Ш8сключ5н0Щ;0;1160;;1;2;1090001;ШЂHЃ1ЂjЂkЃ>Ѓ7ЂeЂm;`рыпЭсоCу;;05,06,09,12;;100;;100;;120;;45;;;;;;;;;14-Jul-17;14-Jul-17
ст.109Э1 ч.1;0;340;1;1;2;1090101;Побои;`рыпЭсоCу;;05,06,09,12;;80;;80;;80;;25;;;;;;;;;15-Jun-24;15-Jun-24
ст.109Э1 ч.2;0;1940;1;1;2;1090102;Побои;`рыпЭсоCу;01,02,03,04,05,06,07,08;05,06,09,12;100;200;100;200;100;200;30;50;;;;;;;;;15-Jun-24;15-Jun-24
ст.110 ч.1;1;2590;;1;1;1100001;Истязание;Jинау;;05,06,09,11,01;;1000;;1000;;600;;;;2;;2;;;;;  -   -;
ст.110 ч.1;1;2620;;1;1;1100001;Истязание;Jинау;;05,06,09,11,01;;1000;;1000;;600;;;;2;;2;;;;;19-May-23;19-May-23
ст.110 ч.1;2;3880;;1;1;1100001;Истязание;Jинау;;05,06,09,01;;1000;;1000;;600;;;;;;3;;;;;15-Jun-24;15-Jun-24
ст.110 ч.2;3;9030;;;1;1100002;Истязание;Jинау;01,02,03,04,05,06;11,01;;;;;;;;;3;7;3;7;;;;;  -   -;
ст.110 ч.2;3;9420;;;1;1100002;Истязание;Jинау;01,02,03,04,05,06;11,01;;;;;;;;;4;7;4;7;;;;;11-Jan-20;11-Jan-20
ст.110 ч.2;3;9430;;;1;1100002;Истязание;Jинау;01,02,03,04,05,06;11,01;;;;;;;;;4;7;4;7;;;;;19-May-23;19-May-23
ст.110 ч.2 ;3;9340;;;1;1100002;Истязание;Jинау;01,02,03,05,06;01;;;;;;;;;;;4;7;;;;;15-Jun-24;15-Jun-24
ст.111;0;390;1;;2;1110001;Причинение вреда здоровью в состоянии аффекта;Аффект жаCдайында денсаулыKKа зиян келтру;;05,06,09,12;;120;;120;;120;;30;;;;;;;;;  -   -;
ст.112 ч.1;1;2110;1;;1;1120001;Причинение тяжкого вреда здоровью при превышении пределов необходимой обороны;Jажетт KорCаныс шегнен шыCу кезнде денсаулыKKа ауыр зиян келтру;;05,06,09,11,01;;1000;;1000;;400;;;;1;;1;;;;;  -   -;
ст.112 ч.2;1;2300;1;;1;1120002;Причинение тяжкого вреда здоровью при превышении пределов необходимой обороны;Jажетт KорCаныс шегнен шыCу кезнде денсаулыKKа ауыр зиян келтру;;11,01;;;;;;;;;;2;;2;;;;;  -   -;
ст.113;1;2120;1;;1;1130001;Причинение тяжкого вреда здоровью при задержании лицаЬ совершившего преступление;Jылмыс жасаCан адамды aстап алу кезнде денсаулыKKа ауыр зиян келтру;;05,06,09,11,01;;1000;;1000;;400;;;;1;;1;;;;;  -   -;
ст.114 ч.1;0;190;;1;2;1140001;Неосторожное причинение вреда здоровью;ДенсаулыKKа абайсызда зиян келтру;;05,06,09,12;;80;;80;;80;;20;;;;;;;;;  -   -;
ст.114 ч.2;0;360;;1;2;1140002;Неосторожное причинение вреда здоровью;ДенсаулыKKа абайсызда зиян келтру;;05,06,09,12;;120;;120;;120;;30;;;;;;;;;  -   -;
ст.114 ч.3;1;2080;;;1;1140003;Неосторожное причинение вреда здоровью;ДенсаулыKKа абайсызда зиян келтру;;05,06,09,11,01;;1000;;1000;;400;;;;1;;1;;;;;  -   -;
ст.114 ч.4;1;2670;;;1;1140004;Неосторожное причинение вреда здоровью;ДенсаулыKKа абайсызда зиян келтру;;05,06,09,11,01;;2000;;2000;;600;;;;2;;2;;;;;  -   -;
ст.115;0;400;1;2;2;1150001;Угроза;JорKыту;;05,06,09,12;;120;;120;;120;;30;;;;;;;;;  -   -;
ст.116 ч.1;2;5880;1;;1;1160001;Принуждение к изъятию или незаконное изъятие органов и тканей человека;АдамныS аCзалары мен тндерн алып KоюCа м‰жб_рлеу немесе заSсыз алып Kою;;01;;;;;;;;;;;;5;;02;;3;  -   -;
ст.116 ч.2;3;10890;1;;1;1160002;Принуждение к изъятию или незаконное изъятие органов и тканей человека;АдамныS аCзалары мен тндерн алып KоюCа м‰жб_рлеу немесе заSсыз алып Kою;01,02,03,04,05,06,07,08,09,10;01;;;;;;;;;;;5;10;;01,02;;5;  -   -;
ст.116 ч.2;3;11250;1;;1;1160002;Принуждение к изъятию или незаконное изъятие органов и тканей человека;АдамныS аCзалары мен тндерн алып KоюCа м‰жб_рлеу немесе заSсыз алып Kою;01,02,03,04,05,06,07,08,09,10;01;;;;;;;;;;;6;10;;01,02;;6;11-Jan-20;11-Jan-20
ст.116 ч.3;3;12190;1;;1;1160003;Принуждение к изъятию или незаконное изъятие органов и тканей человека;АдамныS аCзалары мен тндерн алып KоюCа м‰жб_рлеу немесе заSсыз алып Kою;;01;;;;;;;;;;;8;12;;01,02;;10;  -   -;
ст.116 ч.3;3;12260;1;;1;1160003;Принуждение к изъятию или незаконное изъятие органов и тканей человека;АдамныS аCзалары мен тндерн алып KоюCа м‰жб_рлеу немесе заSсыз алып Kою;;01;;;;;;;;;;;8;12;01,02;;;10;11-Jan-20;11-Jan-20
ст.117 ч.1;0;1170;;;2;1170001;Заражение венерической болезнью;Соз ауруын жaKтыру;;05,06,09,12;;100;;100;;120;;45;;;;;;;;;  -   -;
ст.117 ч.2;1;2840;;;1;1170002;Заражение венерической болезнью;Соз ауруын жaKтыру;;05,06,09,11,01;;2000;;2000;;600;;;;2;;2;;;;;  -   -;
ст.118 ч.1;0;1330;1;;2;1180001;Заражение вирусом иммунодефицита человека ШВИЧЯСПИДЩ;АдамныS иммун тапшылыCы вирусын ШАИТВЯЖИТСЩ жaKтыру;;05,06,09,12;;200;;200;;180;;50;;;;;;;;;  -   -;
ст.118 ч.2;2;5680;1;;1;1180002;Заражение вирусом иммунодефицита человека ШВИЧЯСПИДЩ;АдамныS иммун тапшылыCы вирусын ШАИТВЯЖИТСЩ жaKтыру;;01;;;;;;;;;;;;5;;;;;  -   -;
ст.118 ч.3;3;9980;1;;1;1180003;Заражение вирусом иммунодефицита человека ШВИЧЯСПИДЩ;АдамныS иммун тапшылыCы вирусын ШАИТВЯЖИТСЩ жaKтыру;;01;;;;;;;;;;;4;8;;;;;  -   -;
ст.118 ч.3;3;10790;1;;1;1180003;Заражение вирусом иммунодефицита человека ШВИЧЯСПИДЩ;АдамныS иммун тапшылыCы вирусын ШАИТВЯЖИТСЩ жaKтыру;;01;;;;;;;;;;;5;10;;;;;11-Jan-20;11-Jan-20
ст.119 ч.1;0;1180;1;;2;1190001;Оставление в опасности;Jаупт жаCдайда Kалдыру;;05,06,09,12;;100;;100;;120;;45;;;;;;;;;  -   -;
ст.119 ч.2;1;2330;1;;1;1190002;Оставление в опасности;Jаупт жаCдайда Kалдыру;;05,06,11,01;;2000;;2000;;;;;;2;;2;;;;;  -   -;
ст.119 ч.3;2;3930;1;;1;1190003;Оставление в опасности;Jаупт жаCдайда Kалдыру;;11,01;;;;;;;;;;3;;3;;;;;  -   -;
ст.119 ч.4;2;6070;1;;1;1190004;Оставление в опасности;Jаупт жаCдайда Kалдыру;;11,01;;;;;;;;;;5;;5;;;;;  -   -;
ст.120 ч.1;2;7250;1;2;1;1200001;Изнасилование;Зорлау;;01;;;;;;;;;;;3;5;;;;;  -   -;
ст.120 ч.1;2;7270;1;2;1;1200001;Изнасилование;Зорлау;;01;;;;;;;;;;;3;5;;;;;13-Apr-19;13-Apr-19
ст.120 ч.1;3;10080;1;;1;1200001;Изнасилование;Зорлау;;01;;;;;;;;;;;5;8;;;;;11-Jan-20;11-Jan-20
ст.120 ч.1;3;10100;1;;1;1200001;Изнасилование;Зорлау;;01;;;;;;;;;;;5;8;;;;;11-Jan-21;11-Jan-21
ст.120 ч.2;3;10490;1;;1;1200002;Изнасилование;Зорлау;01,02,03,04;01;;;;;;;;;;;5;10;;;;;  -   -;
ст.120 ч.2;3;10760;1;;1;1200002;Изнасилование;Зорлау;01,02,03,04;01;;;;;;;;;;;5;10;;;;;13-Apr-19;13-Apr-19
ст.120 ч.2;3;12270;1;;1;1200002;Изнасилование;Зорлау;01,02,03,04,05;01;;;;;;;;;;;9;12;;;;;11-Jan-20;11-Jan-20
ст.120 ч.2;3;12290;1;;1;1200002;Изнасилование;Зорлау;01,02,03,04,05;01;;;;;;;;;;;9;12;;;;;11-Jan-21;11-Jan-21
ст.120 ч.3;4;12790;1;;1;1200003;Изнасилование;Зорлау;01,02,03,04,05,06;01;;;;;;;;;;;10;15;;02;10;10;  -   -;
ст.120 ч.3;4;12810;1;;1;1200003;Изнасилование;Зорлау;01,02,04,06;01;;;;;;;;;;;10;15;;02;10;10;13-Apr-19;13-Apr-19
ст.120 ч.3;4;13130;1;;1;1200003;Изнасилование;Зорлау;02,04,06;01;;;;;;;;;;;12;15;;02;10;10;11-Jan-20;11-Jan-20
ст.120 ч.3;4;13150;1;;1;1200003;Изнасилование;Зорлау;02,04;01;;;;;;;;;;;12;15;;02;10;10;11-Jan-21;11-Jan-21
ст.120 ч.4;4;13730;1;;1;1200004;Изнасилование;Зорлау;;01,03;;;;;;;;;;;15;20;22;;;;  -   -;
ст.120 ч.4;4;13750;1;;1;1200004;Изнасилование;Зорлау;;01,03;;;;;;;;;;;17;20;22;;;;13-Apr-19;13-Apr-19
ст.120 ч.4;4;13810;1;;1;1200004;Изнасилование;Зорлау;;01,03;;;;;;;;;;;20;20;22;;;;11-Jan-20;11-Jan-20
ст.120 ч.4;4;13830;1;;1;1200004;Изнасилование;Зорлау;;01,03;;;;;;;;;;;20;20;22;;;;11-Jan-21;11-Jan-21
ст.120 ч.4;4;;1;;1;1200004;Изнасилование;Зорлау;;03;;;;;;;;;;;;20;;;;;16-Jun-24;16-Jun-24
ст.120 ч.3Э1;4;13290;1;;1;1200031;Изнасилование;Зорлау;01,02;01;;;;;;;;;;;12;17;22;;;;13-Apr-19;13-Apr-19
ст.120 ч.3Э1;4;13340;1;;1;1200031;Изнасилование;Зорлау;01,03;01;;;;;;;;;;;15;17;22;;;;11-Jan-21;11-Jan-21
ст.120 ч.3Э2;4;13770;1;;1;1200032;Изнасилование;Зорлау;01,02;01,03;;;;;;;;;;;17;20;22;;;;11-Jan-20;11-Jan-20
ст.120 ч.3Э2;4;13790;1;;1;1200032;Изнасилование;Зорлау;01,03;01,03;;;;;;;;;;;17;20;22;;;;11-Jan-21;11-Jan-21
ст.121 ч.1;2;7260;1;2;1;1210001;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;;01;;;;;;;;;;;3;5;;;;;  -   -;
ст.121 ч.1;2;7280;1;2;1;1210001;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;;01;;;;;;;;;;;3;5;;;;;13-Apr-19;13-Apr-19
ст.121 ч.1;3;10090;1;2;1;1210001;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;;01;;;;;;;;;;;5;8;;;;;11-Jan-20;11-Jan-20
ст.121 ч.1;3;10110;1;2;1;1210001;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;;01;;;;;;;;;;;5;8;;;;;11-Jan-21;11-Jan-21
ст.121 ч.2;3;10500;1;;1;1210002;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02,03,04;01;;;;;;;;;;;5;10;;;;;  -   -;
ст.121 ч.2;3;10770;1;;1;1210002;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02,03,04;01;;;;;;;;;;;5;10;;;;;13-Apr-19;13-Apr-19
ст.121 ч.2;3;12280;1;;1;1210002;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02,03,04,05;01;;;;;;;;;;;9;12;;;;;11-Jan-20;11-Jan-20
ст.121 ч.2;3;12300;1;;1;1210002;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02,03,04,05;01;;;;;;;;;;;9;12;;;;;11-Jan-21;11-Jan-21
ст.121 ч.3;4;12800;1;;1;1210003;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02,03,04,05,06;01;;;;;;;;;;;10;15;;02;10;10;  -   -;
ст.121 ч.3;4;12820;1;;1;1210003;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02,04,06;01;;;;;;;;;;;10;15;;02;10;10;13-Apr-19;13-Apr-19
ст.121 ч.3;4;13140;1;;1;1210003;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;02,04,06;01;;;;;;;;;;;12;15;;02;10;10;11-Jan-20;11-Jan-20
ст.121 ч.3;4;13160;1;;1;1210003;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;02,04;01;;;;;;;;;;;12;15;;02;10;10;11-Jan-21;11-Jan-21
ст.121 ч.4;4;13740;1;;1;1210004;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;;01,03;;;;;;;;;;;15;20;22;;;;  -   -;
ст.121 ч.4;4;13760;1;;1;1210004;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;;01,03;;;;;;;;;;;17;20;22;;;;13-Apr-19;13-Apr-19
ст.121 ч.4;4;13820;1;;1;1210004;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;;01,03;;;;;;;;;;;20;20;22;;;;11-Jan-20;11-Jan-20
ст.121 ч.4;4;13840;1;;1;1210004;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;;01,03;;;;;;;;;;;20;20;22;;;;11-Jan-21;11-Jan-21
ст.121 ч.3Э1;4;13320;1;;1;1210031;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02;01;;;;;;;;;;;12;17;22;02;10;10;13-Apr-19;13-Apr-19
ст.121 ч.3Э1;4;13330;1;;1;1210031;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02;01;;;;;;;;;;;12;17;22;02;10;10;11-Jan-20;11-Jan-20
ст.121 ч.3Э1;4;13350;1;;1;1210031;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,03;01;;;;;;;;;;;15;17;22;;;;11-Jan-21;11-Jan-21
ст.121 ч.3Э2;4;13780;1;;1;1210032;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,02;01,03;;;;;;;;;;;17;20;22;;;;11-Jan-20;11-Jan-20
ст.121 ч.3Э2;4;13800;1;;1;1210032;Насильственные действия сексуального характера;СексуалдыK сипаттаCы зорлыKЭзомбылыK ‰рекеттер;01,03;01,03;;;;;;;;;;;17;20;22;;;;11-Jan-21;11-Jan-21
ст.121Э1 ч.1;0;1400;1;1;2;1210101;Приставание сексуального характера к лицамЬ не достигшим шестнадцатилетнего возраста;Он алты жасKа толмаCан адамдарCа сексуалдыK сипатта тису;;06,09,12;;;;200;;200;;50;;;;;;02;;3;15-Jun-24;15-Jun-24
ст.122 ч.1;2;6080;1;;1;1220001;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;11,01;;;;;;;;;;5;;5;;;;;  -   -;
ст.122 ч.1;2;6100;1;;1;1220001;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;11,01;;;;;;;;;;5;;5;;;;;13-Apr-19;13-Apr-19
ст.122 ч.1;2;6140;1;;1;1220001;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;11,01;;;;;;;;;;5;;5;;;;;11-Jan-20;11-Jan-20
ст.122 ч.1;2;6220;1;;1;1220001;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;11,01;;;;;;;;;;5;;5;22;;;;04-Sep-24;04-Sep-24
ст.122 ч.2;3;11510;1;;1;1220002;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;01;;;;;;;;;;;7;10;22;;;;  -   -;
ст.122 ч.2;3;11520;1;;1;1220002;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;01;;;;;;;;;;;7;10;22;;;;13-Apr-19;13-Apr-19
ст.122 ч.2;3;11530;1;;1;1220002;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;01;;;;;;;;;;;7;10;22;;;;11-Jan-20;11-Jan-20
ст.122 ч.2;3;7840;1;;1;1220002;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;01;;;;;;;;;;;3;6;22;;;;04-Sep-24;04-Sep-24
ст.122 ч.3;4;12960;1;;1;1220003;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;01;;;;;;;;;;;10;15;22;;;;  -   -;
ст.122 ч.3;4;12990;1;;1;1220003;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;;01;;;;;;;;;;;10;15;22;;;;13-Apr-19;13-Apr-19
ст.122 ч.3;4;13020;1;;1;1220003;Половое сношение или иные действия сексуального характера с лицомЬ не достигшим шестнадцатилетнего в;Он алты жасKа толмаCан адаммен жыныстыK Kатынас немесе сексуалдыK сипаттаCы ™зге де ‰рекеттер жасау;01,02,;01;;;;;;;;;;;10;15;22;;;;11-Jan-20;11-Jan-20
